#,District,State,Population,Growth,Sex-Ratio,Literacy
1,Thane,Maharashtra,11060148,36.01 %,886,84.53
2,North Twenty Four Parganas,West Bengal,10009781,12.04 %,955,84.06
3,Bangalore,Karnataka,9621551,47.18 %,916,87.67
4,Pune,Maharashtra,9429408,30.37 %,915,86.15
5,Mumbai Suburban,Maharashtra,9356962,8.29 %,860,89.91
6,South Twenty Four Parganas,West Bengal,8161961,18.17 %,956,77.51
7,Barddhaman,West Bengal,7717563,11.92 %,945,76.21
8,Ahmadabad,Gujarat,7214225,24.03 %,904,85.31
9,Murshidabad,West Bengal,7103807,21.09 %,958,66.59
10,Jaipur,Rajasthan,6626178,26.19 %,910,75.51
11,Nashik,Maharashtra,6107187,22.30 %,934,82.31
12,Surat,Gujarat,6081322,42.24 %,787,85.53
13,Allahabad,Uttar Pradesh,5954391,20.63 %,901,72.32
14,Paschim Medinipur,West Bengal,5913457,13.86 %,966,78
15,Patna,Bihar,5838465,23.73 %,897,70.68
16,Hugli,West Bengal,5519145,9.46 %,961,81.8
17,Rangareddy,Andhra Pradesh,5296741,48.16 %,961,75.87
18,Nadia,West Bengal,5167600,12.22 %,947,74.97
19,East Godavari,Andhra Pradesh,5154296,5.16 %,1006,70.99
20,Purbi Champaran,Bihar,5099371,29.43 %,902,55.79
21,Purba Medinipur,West Bengal,5095875,15.36 %,938,87.02
22,Guntur,Andhra Pradesh,4887813,9.47 %,1003,67.4
23,Haora,West Bengal,4850029,13.50 %,939,83.31
24,Muzaffarpur,Bihar,4801062,28.14 %,900,63.43
25,Belgaum,Karnataka,4779661,13.41 %,973,73.48
26,Moradabad,Uttar Pradesh,4772006,25.22 %,906,56.77
27,Ghaziabad,Uttar Pradesh,4681645,42.27 %,881,78.07
28,Nagpur,Maharashtra,4653570,14.40 %,951,88.39
29,Chennai,Tamil Nadu,4646732,6.98 %,989,90.18
30,Azamgarh,Uttar Pradesh,4613913,17.11 %,1019,70.93
31,Lucknow,Uttar Pradesh,4589838,25.82 %,917,77.29
32,Kanpur Nagar,Uttar Pradesh,4581268,9.92 %,862,79.65
33,Ahmadnagar,Maharashtra,4543159,12.44 %,939,79.05
34,Krishna,Andhra Pradesh,4517398,7.87 %,992,73.74
35,Kolkata,West Bengal,4496694,-1.67 %,908,86.31
36,Jaunpur,Uttar Pradesh,4494204,14.89 %,1024,71.55
37,Madhubani,Bihar,4487379,25.51 %,926,58.62
38,Sitapur,Uttar Pradesh,4483992,23.88 %,888,61.12
39,Bareilly,Uttar Pradesh,4448359,22.93 %,887,58.49
40,Gorakhpur,Uttar Pradesh,4440895,17.81 %,950,70.83
41,Agra,Uttar Pradesh,4418797,22.05 %,868,71.58
42,Gaya,Bihar,4391418,26.43 %,937,63.67
43,Solapur,Maharashtra,4317756,12.16 %,938,77.02
44,Visakhapatnam,Andhra Pradesh,4290589,11.96 %,1006,66.91
45,Samastipur,Bihar,4261566,25.53 %,911,61.86
46,Jalgaon,Maharashtra,4229917,14.86 %,925,78.2
47,Chittoor,Andhra Pradesh,4174064,11.43 %,997,71.53
48,Vadodara,Gujarat,4165626,14.38 %,934,78.92
49,Muzaffarnagar,Uttar Pradesh,4143512,16.94 %,889,69.12
50,Malappuram,Kerala,4112920,13.45 %,1098,93.57
51,Hardoi,Uttar Pradesh,4092845,20.44 %,868,64.57
52,Anantapur,Andhra Pradesh,4081148,12.10 %,977,63.57
53,Raipur,Chhattisgarh,4063872,34.70 %,984,75.56
54,Kurnool,Andhra Pradesh,4053463,14.85 %,988,59.97
55,Mahbubnagar,Andhra Pradesh,4053028,15.34 %,977,55.04
56,Kheri,Uttar Pradesh,4021243,25.38 %,894,60.56
57,Kancheepuram,Tamil Nadu,3998252,38.95 %,986,84.49
58,Maldah,West Bengal,3988845,21.22 %,944,61.73
59,Saran,Bihar,3951862,21.64 %,954,65.96
